bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
45206,Miss or Mrs?/ The Haunted Hotel/ The Guilty River,3.9,3.79,192833073,9780192833075,3.94,360,175,14,926524800,3.93
41544,The Mammoth Book of Storms  Shipwrecks and Sea Disasters,3.8,3.57,786714689,9780786714681,3.94,512,11,3,1096819200,3.8
11990,The Rebel,4.01,4.15,679733841,9780679733843,3.94,320,9227,256,694195200,3.9
5350,The Partner,3.82,3.92,385339100,9780385339100,3.94,416,97474,1928,1114444800,3.97
45118,The Devil's Feather,3.76,3.63,307264629,9780307264626,3.94,349,2343,153,1156176000,3.88
32437,The Face,3.93,3.71,553584480,9780553584486,3.94,649,18747,559,1082995200,3.91
21494,Floaters,3.79,3.52,553575953,9780553575958,3.94,291,567,38,857318400,3.91
31491,The Rainbow,3.82,3.69,451530306,9780451530301,3.94,544,15840,462,1241452800,3.95
38761,Incident at Vichy,3.91,3.96,140481931,9780140481938,3.94,80,686,54,481219200,3.91
19321,The Tale of Peter Rabbit,4.19,4.18,723247706,9780723247708,3.94,72,188842,1575,1015430400,3.95
3690,The Power and the Glory,3.96,4.0,142437301,9780142437308,3.94,222,25490,1585,1046102400,3.91
19302,Pippi Longstocking,4.09,4.13,142402494,9780142402498,3.94,160,147067,2558,1114012800,4.02
28377,Heartsnatcher,3.97,3.97,1564782999,9781564782991,3.93,245,2430,77,1065110400,3.84
32124,Deep Waters (Cetin Ikmen  #4),3.72,3.99,747267197,9780747267195,3.94,448,301,24,1025452800,3.89
22743,Rachel se va de viaje (La familia Walsh  #2),3.76,3.95,840132954X,9788401329548,3.94,594,7,0,1043942400,3.96
30215,Cast a Yellow Shadow (Mac McCorkle  #2),3.93,3.95,445405562,9780445405561,3.94,272,206,17,539107200,3.8
31384,Loving God with All Your Mind,4.24,4.43,736913823,9780736913829,3.92,304,1488,77,1104508800,4.17
43244,High Performance MySQL: Optimization  Backups  Replication & Load Balancing,4.02,4.23,596003064,9780596003067,3.94,304,403,17,1082217600,3.94
18761,Civilization and Its Discontents,3.86,3.78,393059952,9780393059953,3.94,192,215,18,1105891200,3.98
24603,The Writer of Modern Life: Essays on Charles Baudelaire,4.07,4.3,674022874,9780674022874,3.94,307,267,4,1162310400,4.03
36853,Tyrannosaurus Wrecks (Stanley  #1),4.21,5.0,786845031,9780786845033,3.94,24,2,1,1044028800,3.98
32328,Air Gear  Vol. 2 (Air Gear  #2),3.99,4.04,034549279X,9780345492791,3.94,224,686,8,1162224000,3.99
28086,One Hundred Years of Solitude,3.98,4.07,140157514,9780140157512,3.94,422,640,65,77040000,3.83
1684,The City of God,3.95,3.92,679783199,9780679783190,3.94,905,104,16,968688000,3.92
11970,The Humanoids (Humanoids #1),3.86,3.75,312852533,9780312852535,3.94,299,898,48,821635200,3.88
3051,Sir Gawain and the Green Knight,3.92,3.91,744520053,9780744520057,3.94,29,65,9,677948400,3.94
22822,The Return of Lum  Volume 5: Feudal Furor (Urusei Yatsura  #6),4.17,4.04,1569312109,9781569312100,3.92,200,27,0,881337600,4.15
42915,CliffsNotes on Remarque's All Quiet on the Western Front,4.0,4.24,764586718,9780764586712,3.94,112,12,0,977241600,3.76
30851,A Woman in Berlin: Eight Weeks in the Conquered City: A Diary,4.1,4.33,312426119,9780312426118,3.94,261,6232,713,1152547200,3.83
2713,The Portable Chaucer,3.81,3.86,140150811,9780140150810,3.94,611,70,8,233424000,3.91
44630,The Inner Sanctum,3.82,3.64,451190149,9780451190147,3.94,448,472,36,899222400,3.95
2209,Passionate Sage: The Character and Legacy of John Adams,3.94,4.05,393311333,9780393311334,3.94,288,2622,78,982339200,3.98
22298,Fantasmas,3.72,3.59,9879397509,9789879397503,3.94,442,116,13,1156694400,3.87
6981,When the Heart Waits: Spiritual Direction for Life's Sacred Questions,3.93,4.13,61144894,9780061144899,3.94,240,2366,231,1476115200,4.02
33718,The Ties That Bind: Life's Most Essential Knots and Ties,3.84,3.67,1584793821,9781584793823,3.94,80,3,1,1098720000,3.99
30129,A Light in the Attic (Book & CD),4.21,4.34,66236177,9780066236179,3.92,176,597,21,1002556800,4.0
16887,How to Write: Advice and Reflections,3.97,3.87,688149480,9780688149482,3.94,240,162,19,845395200,3.75
14430,The Pyramid,3.71,3.33,571192521,9780571192526,3.94,217,527,20,869500800,3.96
45486,His Dark Materials (His Dark Materials  #1-3),3.98,4.26,375847227,9780375847226,3.94,933,2656,260,1176134400,3.88
40226,Angels: Celestial Spirits in Legend & Art,4.02,4.0,1567996035,9781567996036,3.92,128,42,3,878313600,3.99
44067,Full Woman  Fleshly Apple  Hot Moon: Selected Poems,4.22,4.45,60928778,9780060928773,3.94,288,1018,66,887126400,3.94
32696,El umbral de la noche,4.0,4.0,8497594290,9788497594295,3.94,417,79,11,1083254400,3.87
5694,Mother Maria Skobtsova: Essential Writings,4.08,4.31,1570754365,9781570754364,3.94,192,62,9,1033401600,4.13
44450,The Portable Dorothy Parker,4.03,4.34,143039539,9780143039532,3.94,626,1447,199,1143475200,3.91
23617,Roverandom,4.16,3.87,7149115,9780007149117,3.94,116,8775,413,1030896000,3.91
969,The Da Vinci Code,3.83,3.84,076792603X,9780767926034,3.94,467,1120,105,1143475200,3.86
2166,The Old Man and the Sea,3.9,3.77,743564367,9780743564366,3.94,3,393,77,1146412800,3.82
45092,Agnes Grey,3.91,3.68,1593083238,9781593083236,3.94,224,418,77,1128096000,3.99
26821,The National Geographic Society: 100 Years of Adventure & Discovery,3.98,4.11,810982196,9780810982192,3.92,528,10,2,999273600,3.98
38925,Dirty Little Secrets,4.0,4.15,031235407X,9780312354077,3.94,256,304,31,1148918400,3.92
11876,Set This House On Fire,3.91,3.69,009928555X,9780099285557,3.94,567,566,33,986400000,3.98
40929,The Rise of Theodore Roosevelt,4.07,4.23,375756787,9780375756788,3.94,780,36847,1461,1006185600,3.93
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,3.66,3.4,446579785,9780446579780,3.92,211,213,26,1138723200,3.66
23491,Kurt Vonnegut's Cat's Cradle (Modern Critical Interpretations),4.13,4.35,791063372,9780791063378,3.94,258,14,2,1024070400,4.1
